Setting,Seed,Modes,High-Quality Samples,KL,Reverse KL,JSD,TVD
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,1,1.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,7,0.9474,0.5003915205070297,0.23380654422399338,0.07237733879416969,0.2343650031989763
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,8,0.91616,0.14855751732370617,0.12709277009701583,0.033079921609871964,0.19481765834932824
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.916,0.0054636817305830365,0.005546031219217484,0.0013745675949065912,0.04110684580934099
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,8,0.95168,0.1572652595509881,0.09070902548005082,0.02722744374774816,0.1315579014715291
alpha-0.2_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,5.7278669374534665,1.5236894966070544,0.39436387476325974,0.7497600767754319
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,1,1.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,1,0.17612,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,0.0,5.961576742748548,1.9451419464657596,0.4602543671959154,0.8456493921944978
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,8,0.79028,0.10591580655731535,0.09443351231164306,0.02452413766470643,0.17634357005758156
alpha-0.2_dlayers-2_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-2_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,1,0.99988,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
